iter	Passed	Remaining
400	21078	31487
401	21127	31428
402	21176	31371
403	21230	31320
404	21280	31263
405	21328	31204
406	21377	31147
407	21426	31089
408	21479	31037
409	21528	30979
410	21577	30922
411	21626	30864
412	21674	30806
413	21728	30756
414	21779	30700
415	21828	30643
416	21876	30585
417	21925	30527
418	21978	30476
419	22027	30419
420	22076	30361
421	22125	30304
422	22174	30247
423	22227	30195
424	22276	30138
425	22325	30082
426	22376	30026
427	22425	29970
428	22477	29917
429	22526	29860
430	22574	29802
431	22623	29745
432	22673	29689
433	22726	29639
434	22776	29583
435	22825	29526
436	22874	29469
437	22923	29413
438	22975	29360
439	23024	29304
440	23073	29247
441	23122	29191
442	23185	29152
443	23248	29113
444	23311	29073
445	23379	29041
446	23453	29015
447	23516	28975
448	23567	28921
449	23624	28874
450	23682	28828
451	23741	28783
452	23796	28734
453	23853	28686
454	23912	28642
455	23964	28589
456	24017	28537
457	24070	28484
458	24121	28431
459	24175	28380
460	24232	28332
461	24291	28287
462	24345	28236
463	24395	28181
464	24445	28125
465	24503	28079
466	24563	28034
467	24624	27992
468	24678	27940
469	24729	27886
470	24785	27837
471	24835	27781
472	24884	27725
473	24932	27668
474	24982	27612
475	25035	27559
476	25084	27503
477	25135	27449
478	25192	27401
479	25248	27352
480	25306	27306
481	25361	27255
482	25410	27199
483	25461	27145
484	25517	27095
485	25566	27039
486	25614	26981
487	25663	26926
488	25716	26873
489	25774	26826
490	25827	26773
491	25882	26724
492	25938	26674
493	25987	26619
494	26036	26562
495	26088	26509
496	26139	26454
497	26195	26406
498	26245	26351
499	26297	26297
500	26350	26245
501	26409	26199
502	26458	26143
503	26508	26088
504	26559	26033
505	26608	25977
506	26657	25921
507	26711	25870
508	26766	25819
509	26815	25764
510	26865	25708
511	26916	25654
512	26969	25602
513	27024	25552
514	27074	25497
515	27125	25443
516	27176	25388
517	27225	25333
518	27277	25280
519	27329	25227
520	27386	25178
521	27437	25124
522	27485	25068
523	27538	25016
524	27594	24966
525	27643	24910
526	27696	24858
527	27748	24805
528	27800	24752
529	27848	24695
530	27897	24640
531	27946	24584
532	27998	24531
533	28047	24476
534	28098	24421
535	28149	24367
536	28198	24312
537	28250	24259
538	28299	24204
539	28348	24149
540	28397	24093
541	28445	24037
542	28498	23985
543	28547	23929
544	28601	23878
545	28658	23829
546	28714	23779
547	28767	23727
548	28815	23671
549	28864	23616
550	28913	23560
551	28970	23512
552	29027	23463
553	29085	23415
554	29138	23363
555	29195	23314
556	29256	23268
557	29310	23216
558	29365	23166
559	29450	23140
560	29516	23097
561	29569	23045
562	29619	22990
563	29674	22939
564	29725	22886
565	29774	22830
566	29822	22774
567	29871	22718
568	29922	22665
569	29971	22610
570	30020	22554
571	30068	22498
572	30124	22448
573	30191	22406
574	30240	22351
575	30289	22296
576	30339	22241
577	30390	22187
578	30447	22138
579	30505	22090
580	30558	22037
581	30614	21987
582	30673	21939
583	30726	21887
584	30781	21836
585	30832	21782
586	30887	21731
587	30946	21683
588	31008	21637
589	31058	21582
590	31107	21527
591	31157	21473
592	31213	21423
593	31265	21370
594	31316	21316
595	31365	21261
596	31422	21211
597	31486	21166
598	31549	21120
599	31599	21066
600	31658	21017
601	31716	20968
602	31767	20914
603	31815	20859
604	31866	20805
605	31920	20753
606	31973	20701
607	32022	20646
608	32074	20592
609	32125	20539
610	32175	20484
611	32224	20430
612	32273	20375
613	32326	20322
614	32378	20269
615	32433	20218
616	32484	20164
617	32536	20111
618	32588	20058
619	32638	20004
620	32692	19952
621	32745	19900
622	32799	19848
623	32850	19794
624	32904	19742
625	32956	19689
626	33007	19636
627	33056	19581
628	33105	19526
629	33153	19471
630	33208	19419
631	33261	19367
632	33313	19314
633	33365	19261
634	33420	19210
635	33473	19157
636	33527	19106
637	33584	19055
638	33638	19004
639	33692	18952
640	33747	18900
641	33798	18847
642	33850	18793
643	33901	18740
644	33950	18685
645	33999	18631
646	34047	18576
647	34101	18524
648	34151	18469
649	34199	18415
650	34249	18361
651	34302	18308
652	34353	18255
653	34402	18200
654	34451	18146
655	34500	18091
656	34554	18039
657	34603	17985
658	34653	17931
659	34704	17878
660	34753	17823
661	34808	17772
662	34862	17720
663	34920	17670
664	34975	17619
665	35024	17564
666	35073	17510
667	35122	17456
668	35171	17401
669	35222	17348
670	35272	17294
671	35320	17239
672	35368	17185
673	35424	17134
674	35484	17085
675	35537	17032
676	35591	16980
677	35651	16931
678	35710	16882
679	35759	16828
680	35808	16773
681	35862	16721
682	35922	16672
683	35975	16620
684	36024	16566
685	36073	16511
686	36124	16458
687	36173	16404
688	36222	16349
689	36271	16295
690	36328	16245
691	36385	16194
692	36449	16147
693	36515	16100
694	36571	16049
695	36627	15998
696	36684	15947
697	36748	15899
698	36805	15848
699	36862	15798
700	36918	15746
701	36984	15699
702	37062	15658
703	37126	15610
704	37185	15559
705	37244	15509
706	37308	15461
707	37368	15411
708	37424	15360
709	37480	15308
710	37543	15260
711	37599	15208
712	37657	15158
713	37717	15108
714	37786	15061
715	37891	15029
716	37962	14983
717	38013	14930
718	38063	14875
719	38112	14821
720	38161	14766
721	38209	14712
722	38261	14658
723	38310	14604
724	38359	14550
725	38408	14495
726	38457	14441
727	38509	14388
728	38558	14333
729	38610	14280
730	38683	14235
731	38751	14187
732	38821	14141
733	38879	14089
734	38935	14037
735	38994	13986
736	39053	13936
737	39112	13885
738	39168	13833
739	39226	13782
740	39286	13731
741	39340	13679
742	39400	13628
743	39462	13578
744	39522	13527
745	39573	13474
746	39646	13427
747	39698	13374
748	39748	13320
749	39800	13266
750	39851	13212
751	39904	13160
752	39963	13108
753	40013	13054
754	40068	13002
755	40125	12950
756	40186	12899
757	40241	12847
758	40299	12795
759	40365	12747
760	40422	12695
761	40479	12643
762	40543	12593
763	40626	12549
764	40693	12500
765	40755	12450
766	40812	12397
767	40880	12349
768	40951	12301
769	41014	12251
770	41082	12202
771	41154	12154
772	41244	12112
773	41314	12063
774	41385	12015
775	41452	11965
776	41533	11920
777	41597	11869
778	41663	11819
779	41727	11769
780	41810	11724
781	41867	11671
782	41924	11618
783	41982	11566
784	42050	11516
785	42105	11463
786	42160	11410
787	42218	11358
788	42278	11306
789	42335	11253
790	42392	11201
791	42459	11151
792	42523	11100
793	42584	11048
794	42648	10997
795	42706	10944
796	42765	10892
797	42824	10840
798	42885	10788
799	42940	10735
800	42996	10681
801	43053	10629
802	43112	10576
803	43167	10523
804	43227	10471
805	43284	10418
806	43354	10368
807	43416	10316
808	43478	10265
809	43535	10212
810	43592	10159
811	43652	10106
812	43710	10054
813	43773	10002
814	43834	9950
815	43892	9897
816	43951	9844
817	44025	9795
818	44087	9743
819	44143	9690
820	44202	9637
821	44259	9584
822	44318	9531
823	44374	9478
824	44433	9425
825	44491	9372
826	44548	9319
827	44605	9265
828	44667	9213
829	44738	9163
830	44795	9110
831	44852	9056
832	44910	9003
833	44975	8951
834	45044	8900
835	45107	8848
836	45165	8795
837	45226	8743
838	45282	8689
839	45338	8635
840	45400	8583
841	45455	8529
842	45505	8474
843	45562	8421
844	45631	8370
845	45689	8317
846	45746	8263
847	45807	8210
848	45864	8157
849	45920	8103
850	45978	8050
851	46038	7997
852	46095	7943
853	46151	7890
854	46208	7836
855	46276	7784
856	46334	7731
857	46391	7677
858	46449	7624
859	46509	7571
860	46567	7517
861	46626	7464
862	46691	7412
863	46748	7358
864	46806	7305
865	46862	7251
866	46923	7198
867	46980	7144
868	47037	7090
869	47093	7037
870	47152	6983
